entity_name,category_code,category_description,url,description,date_added,source,notes
Image and Video Understanding Lab/KAUST,ACDM,Academic (education and research),https://cemse.kaust.edu.sa/ivul,"A research group focusing on interesting problems that arise in computer vision, including activity recognition/detection, robust representations of objects for tracking and recognition, scene understanding from 3D data, image annotation.",2021-05-27,JOSA,
Vision-CAIR/KAUST,ACDM,Academic (education and research),https://cemse.kaust.edu.sa/vision-cair,An research group that covers both Vision Content AI research and Vision- Creative AI research.,2021-05-27,JOSA,
Peter Richtárik Group/KAUST,ACDM,Academic (education and research),https://richtarik.org/index.html,A group focused on different machine learning related topics.,2021-05-27,JOSA,
Peter Wonka Group/KAUST,ACDM,Academic (education and research),https://cemse.kaust.edu.sa/org/p-wonka,"A research group interested in computer graphics, visualization, and remote sensing with a focus on modeling and analysis of urban and geospatial data.",2021-05-27,JOSA,
Artificial Intelligence for 2030 Group/KAU,ACDM,Academic (education and research),https://ksaeedi.kau.edu.sa/Pages-ResearchGroupsEN.aspx,A research group that aims to produce digitally applied research using Artificial Intelligence in line with the digital transformation 2030 initiative.,2021-05-27,JOSA,
Thakaa,ACDM,Academic (education and research),https://thakaa.edu.sa/en/,"A specialized center in research, development and innovation of AI solutions",2021-05-27,JOSA,
Vision VC,FUND,Funding,https://visionvc.co/,A Venture Capital firm investing in startups in seed and early stages.,2021-05-27,JOSA,
Saudi Technology Ventures,FUND,Funding,https://stv.vc/,A venture capital fund that backs and scales the region’s most exciting and disruptive technology companies,2021-05-27,JOSA,
Raed Ventures,FUND,Funding,http://raed.vc/,An early-stage venture capital firm that partners with exceptional founders building transformative companies,2021-05-27,JOSA,
STC Ventures,FUND,Funding,http://stcventures.com/,"A venture capital fund whose anchor investor is the Saudi Telecom Company. Mainly, the fund focuses on Tech companies.",2021-05-27,JOSA,
Sirb,FUND,Funding,http://sirb.sa/en/,An network of investors that provides early stage funding.,2021-05-27,JOSA,
Riyad Taqnia Fund,FUND,Funding,http://www.riyadtaqnia.com/,A venture capital fund investing in technology startups around the globe.,2021-05-27,JOSA,
Derayah,FUND,Funding,https://web.derayah.com/en/,A mutual fund that invests in growth and early stage innovative startups.,2021-05-27,JOSA,
Nama,FUND,Funding,https://www.namaventures.com/,"A seed stage venture capital fund focused on fueling innovation in the MENA region, particularly in Saudi Arabia.",2021-05-27,JOSA,
Daal,FUND,Funding,https://www.daal.io/,A venture capital fund that offers its investors a chance to participate in high-growth opportunities unique to the IT sector,2021-05-27,JOSA,
Riyadh Valley Co,FUND,Funding,http://rvc.com.sa,A venture capital fund that focuses on the ICT sector. It is the investment arm of King Saud University.,2021-05-27,JOSA,
Saudi Authority for Data and Artificial Intelligence,GOVT,Government,https://sdaia.gov.sa/wps/portal/sdaia/home/index/!ut/p/z1/lZFLb8IwEIT_SnvgGO3aebA9JmkFokUVRAHsC3LzIK6IE4JF-_NrekMCqu5ttSPNzLcgYQPSqJPeKas7o_ZuFzLaRvwtZVPir5MVpbhgcTKfLXKePgew_ksg3RlvTIywAgmyMLa3DYiiM7Yy9jjCyuz2-tg8qGGETddWWzWchX2hSxDjsvZZFNVe_VGTF2D45BEx8kpCLFkYYkHkgskr3jEmS574iJN3flVwES5zrsIVHN8qmGEI65OuviA33dA6YNk_Y04RZr8x7iB0T9Cfh4OMHakzoW8Lm_uo-jZvyY-WNH_xAykefwCONIbR/dz/d5/L0lHSkovd0RNQUZrQUVnQSEhLzROVkUvZW4!/,A Governmental Entity to lead the transformation towards a national economy based on data and AI.,2021-05-27,JOSA,
National Information Center,GOVT,Government,https://sdaia.gov.sa/wps/portal/sdaia/home/nic/!ut/p/z1/lZHLbsIwEEV_pSxYRjN2HrhLJ0UgWlTRNEC8QSYPYkqcECza_n2dZSVI1dmNdO_MnTMgYAtCy6s6SKMaLU-2T0WwC-hLROaMPs_WLMIV4eFysUpo9E5gMyh48kAM-9cgQGTatKaCNGu0KbS5jLHQh5O6VA-yG2PV1MVOdr2wzVQO6SQvXRIEpVPuS-Z46D86jBHm5AwxJ76PGWN_BLOb-2B4pzhav7gh4Ri-0dBFnL3Sm4JfM1KbYXIvQ4w-bK6q-IREN11tYcf_PHGOsBjka_HbB6rj-Sy4pdzT_TKwHcYcFxraOqmZ--18lMup64m9x0ejHy5Kf6I!/dz/d5/L2dBISEvZ0FBIS9nQSEh/,The main operator of national data infrastructure and the key provider of government analytics and AI-powered insights,2021-05-27,JOSA,
National Data Management Office,GOVT,Government,https://sdaia.gov.sa/wps/portal/sdaia/home/ndmo/!ut/p/z1/lZFPb8IwDMW_yjhwrOykf8iOaTeB2NDEqjKaCyptQrPRtJSIbd9-6XESdJpvlt6zn38GAVsQprjoQ2F1a4qj63MR7SL6nJAFo0_zDUtwTXi8Wq4zmvghvI0KHgIQ4_4NCBClsZ2tIS9bY6Wx5ylKczjqc31X9FOs20buin4QdqWuIJ9VyidRpDy1V8wLMLz3GCPMqxhiRcIQS8b-COY2D8HwRnF0fnFFwjF-pbGPOH-hVwW_ZuQuw-xWhhQdvYuWn5CZtm8c7PSfJy4QlqN8HX73QP1-OgnuKA90vyxsxzGn0kDXZA3zv70PtXr0A7EP-GTyA6MRKXk!/dz/d5/L2dBISEvZ0FBIS9nQSEh/,"The main data and AI regulator responsible for data and AI regulations, standards, and compliance",2021-05-27,JOSA,
National Center for AI,GOVT,Government,https://sdaia.gov.sa/,"The driver of advancement in AI innovations, providing AI strategic advice to the government, and promoting AI education and awareness",2021-05-27,JOSA,
Quant Data & Analytics,INDS,Industry,https://www.quant.sa/,A tech start-up specializing in data science and providing data analysis and artificial intelligence services,2021-05-27,JOSA,
Lucidya,INDS,Industry,https://lucidya.com/,"A social media analytics tool that allows businesses to monitor and analyze all tweets, posts and articles about their brands using AI, allowing better decision.",2021-05-27,JOSA,
Hazen.ai,INDS,Industry,http://hazen.ai/,A solution to detect dangerous driving behavior through video analysis & intelligent algorithms based on traffic cameras.,2021-05-27,JOSA,
Fihm.ai,INDS,Industry,http://www.fihm.ai/,An educational/consultancy platform for AI.,2021-05-27,JOSA,
